Date,Revenue,Orders,Expenses
2022-01-30,26699,470,26055
2022-01-31,5876,434,28166
2022-02-01,37093,247,15389
2022-02-02,9142,96,22347
2022-02-03,20202,252,19360
2022-02-04,44734,310,17214
2022-02-05,12079,73,30222
2022-02-06,12987,389,9743
2022-02-07,44567,461,38356
2022-02-08,33940,310,37303
2022-02-09,42233,335,17698
2022-02-10,22019,562,37796
2022-02-11,23077,135,32602
2022-02-12,31258,479,17947
2022-02-13,26136,80,38537
2022-02-14,13311,489,25469
2022-02-15,22214,398,9486
2022-02-16,19098,461,10241
2022-02-17,33251,577,33854
2022-02-18,42945,359,22371
2022-02-19,30945,445,35524
2022-02-20,30316,387,25474
2022-02-21,37217,486,15667
2022-02-22,13308,414,16801
2022-02-23,10949,162,7405
2022-02-24,6150,225,5153
2022-02-25,28944,198,28131
2022-02-26,39699,227,22680
2022-02-27,14204,431,22697
2022-02-28,6081,272,38351
2022-03-01,34305,308,31283
2022-03-02,21896,238,31444
2022-03-03,12805,355,38811
2022-03-04,10237,427,25363
2022-03-05,25056,392,22646
2022-03-06,8343,205,19036
2022-03-07,18500,104,9726
2022-03-08,34375,491,39790
2022-03-09,14662,249,21274
2022-03-10,21964,452,27587
2022-03-11,13130,226,24555
2022-03-12,24531,498,13168
2022-03-13,6679,590,18103
2022-03-14,8506,350,28901
2022-03-15,18284,356,33567
2022-03-16,12253,316,16207
2022-03-17,24128,263,26691
2022-03-18,32932,532,6556
2022-03-19,14435,311,36133
2022-03-20,49078,116,18893
2022-03-21,18296,182,18866
2022-03-22,35445,589,3656
2022-03-23,18245,561,18096
2022-03-24,34124,260,18447
2022-03-25,34899,302,22854
2022-03-26,48919,87,24983
2022-03-27,48225,92,34196
2022-03-28,40247,454,15046
2022-03-29,34222,95,37529
2022-03-30,31211,503,3956
2022-03-31,42220,354,27560
2022-04-01,31646,282,27175
2022-04-02,43649,294,24295
2022-04-03,28049,344,17855
2022-04-04,19069,432,21003
2022-04-05,37580,207,16036
2022-04-06,36843,454,16844
2022-04-07,7849,50,3645
2022-04-08,45158,266,36146
2022-04-09,28289,556,20524
2022-04-10,49690,79,23119
2022-04-11,40257,569,29589
2022-04-12,14823,324,20045
2022-04-13,46975,541,16163
2022-04-14,14540,85,27587
2022-04-15,21364,360,24593
2022-04-16,9611,93,36155
2022-04-17,32663,204,33802
2022-04-18,43646,126,31409
2022-04-19,35977,487,13111
2022-04-20,34168,481,24119
2022-04-21,30471,591,27675
2022-04-22,27687,88,38539
2022-04-23,5851,288,39937
2022-04-24,23071,62,26647
2022-04-25,11833,171,29953
2022-04-26,16938,193,7019
2022-04-27,40195,504,23654
2022-04-28,31144,417,31334
2022-04-29,9000,296,19418
2022-04-30,10052,94,29742
2022-05-01,40506,424,16682
2022-05-02,33074,340,15164
2022-05-03,43155,256,10618
2022-05-04,45770,568,6380
2022-05-05,37320,291,26927
2022-05-06,43304,163,18163
2022-05-07,8913,351,22560
2022-05-08,22450,325,17725
2022-05-09,29107,145,7687
2022-05-10,25764,343,32962
2022-05-11,48404,409,4586
2022-05-12,25491,337,11056
2022-05-13,43494,203,8422
2022-05-14,8373,472,23042
2022-05-15,17161,99,3952
2022-05-16,36996,256,32532
2022-05-17,32122,262,15521
2022-05-18,39850,115,13906
2022-05-19,32350,281,5978
2022-05-20,32472,369,34275
2022-05-21,33761,186,15343
2022-05-22,30351,114,14951
2022-05-23,28132,563,17691
2022-05-24,20305,181,14520
2022-05-25,14817,383,14326
2022-05-26,16261,81,33521
2022-05-27,5417,547,37727
2022-05-28,46576,292,3805
2022-05-29,25358,241,38868
2022-05-30,8267,191,37343
2022-05-31,22209,240,14922
2022-06-01,29052,198,11791
2022-06-02,43513,465,38383
2022-06-03,31092,569,18040
2022-06-04,16338,65,28187
2022-06-05,5412,155,33860
2022-06-06,12543,332,29525
2022-06-07,45355,153,28136
2022-06-08,38496,410,20010
2022-06-09,28548,84,14974
2022-06-10,32384,162,11866
2022-06-11,49425,357,21286
2022-06-12,43756,102,18015
2022-06-13,23888,130,29670
2022-06-14,40735,418,39610
2022-06-15,22506,291,23695
2022-06-16,25463,80,27805
2022-06-17,22955,410,27190
2022-06-18,42841,282,10997
2022-06-19,10104,83,25752
2022-06-20,39911,292,21069
2022-06-21,28190,108,33508
2022-06-22,12357,578,24517
2022-06-23,37479,127,11524
2022-06-24,49811,351,13071
2022-06-25,41208,161,23596
2022-06-26,25150,462,12781
2022-06-27,10644,366,37759
2022-06-28,48286,194,29839
2022-06-29,7914,67,5263
2022-06-30,26352,400,28002
2022-07-01,49912,204,28642
2022-07-02,19397,555,38579
2022-07-03,46555,409,15571
2022-07-04,5728,381,20217
2022-07-05,5698,577,10227
2022-07-06,44954,61,17207
2022-07-07,18923,124,15672
2022-07-08,21779,261,38286
2022-07-09,12400,332,23051
2022-07-10,29466,244,31879
2022-07-11,41939,79,31845
2022-07-12,9360,58,13015
2022-07-13,40270,358,20425
2022-07-14,22101,494,24496
2022-07-15,37307,359,3707
2022-07-16,10486,475,20767
2022-07-17,13335,140,29467
2022-07-18,26364,505,20686
2022-07-19,42259,493,10118
2022-07-20,28576,128,14213
2022-07-21,36667,524,34485
2022-07-22,16130,152,18501
2022-07-23,26972,505,11868
2022-07-24,45419,363,32333
2022-07-25,6167,296,37028
2022-07-26,32192,283,13545
2022-07-27,6062,284,3357
2022-07-28,23540,436,24788
2022-07-29,29244,87,39002
2022-07-30,26545,210,19802
2022-07-31,26689,511,23339
2022-08-01,16174,498,4593
2022-08-02,27925,166,7602
2022-08-03,42497,290,12577
2022-08-04,14348,75,33329
2022-08-05,28714,347,13943
2022-08-06,43102,203,36012
2022-08-07,13924,517,7572
2022-08-08,42098,98,19250
2022-08-09,29394,95,19633
2022-08-10,11801,334,29171
2022-08-11,42614,131,8869
2022-08-12,11731,93,8971
2022-08-13,28625,322,16957
2022-08-14,22337,443,8968
2022-08-15,40307,107,24253
2022-08-16,12056,50,28941
2022-08-17,16516,265,10647
2022-08-18,49261,366,28499
2022-08-19,6542,277,34785
2022-08-20,26677,522,19457
2022-08-21,44081,533,12000
2022-08-22,32569,336,37894
2022-08-23,28322,560,21588
2022-08-24,24065,507,9470
2022-08-25,22924,144,18473
2022-08-26,27556,542,19161
2022-08-27,31962,199,23063
2022-08-28,33295,72,15908
2022-08-29,18807,264,14850
2022-08-30,47348,448,3984
2022-08-31,31432,459,10187
2022-09-01,22749,180,30856
2022-09-02,46459,197,23339
2022-09-03,31256,430,17083
2022-09-04,45262,158,28435
2022-09-05,42080,170,5085
2022-09-06,6324,344,33837
2022-09-07,30731,169,19183
2022-09-08,40909,505,38495
2022-09-09,28803,579,36144
2022-09-10,24870,218,25084
2022-09-11,39578,192,4065
2022-09-12,11588,86,6682
2022-09-13,43069,310,35488
2022-09-14,31790,280,34460
2022-09-15,30289,303,11820
2022-09-16,33178,378,21757
2022-09-17,33710,346,26146
2022-09-18,20485,59,11058
2022-09-19,49482,495,25852
2022-09-20,25652,279,17118
2022-09-21,9748,585,39742
2022-09-22,26233,127,9659
2022-09-23,14435,474,7841
2022-09-24,8709,242,21335
2022-09-25,35355,450,23305
2022-09-26,18116,158,6424
2022-09-27,30470,312,17538
2022-09-28,47344,378,6769
2022-09-29,47918,412,34586
2022-09-30,44298,427,29447
2022-10-01,47956,390,23015
2022-10-02,19683,308,38078
2022-10-03,5504,384,5343
2022-10-04,38982,134,6386
2022-10-05,39299,571,38107
2022-10-06,33016,357,3683
2022-10-07,28960,311,28451
2022-10-08,38591,501,4054
2022-10-09,22312,300,26595
2022-10-10,42797,373,23398
2022-10-11,7105,278,26685
2022-10-12,41395,346,3348
2022-10-13,27700,286,31890
2022-10-14,39620,266,19362
2022-10-15,42678,295,36790
2022-10-16,25559,497,28025
2022-10-17,32509,368,3503
2022-10-18,32860,481,16576
2022-10-19,16003,453,36290
2022-10-20,26732,86,14884
2022-10-21,30826,391,28205
2022-10-22,35354,438,35785
2022-10-23,18843,83,4268
2022-10-24,49472,88,4176
2022-10-25,11190,258,21016
2022-10-26,22640,201,15745
2022-10-27,43413,414,14961
2022-10-28,47356,248,39381
2022-10-29,49597,128,9768
2022-10-30,45821,526,21972
2022-10-31,8330,483,36089
2022-11-01,24087,81,10626
2022-11-02,46430,136,31403
2022-11-03,29504,442,32032
2022-11-04,12114,293,33226
2022-11-05,18323,281,31783
2022-11-06,39121,241,11403
2022-11-07,15975,589,32619
2022-11-08,16023,319,5619
2022-11-09,26447,126,4347
2022-11-10,29933,216,6164
2022-11-11,28959,333,16559
2022-11-12,5667,138,30788
2022-11-13,34703,593,36678
2022-11-14,14337,205,10166
2022-11-15,41487,299,38219
2022-11-16,24129,144,3403
2022-11-17,45251,66,13033
2022-11-18,36921,166,30224
2022-11-19,38307,382,21074
2022-11-20,32355,571,6485
2022-11-21,42732,129,12448
2022-11-22,9835,481,23672
2022-11-23,25159,252,16410
2022-11-24,43810,165,17262
2022-11-25,45080,269,30760
2022-11-26,43088,302,12834
2022-11-27,18216,218,35279
2022-11-28,40547,365,30928
2022-11-29,36471,421,23829
2022-11-30,22308,205,25843
2022-12-01,32532,62,37712
2022-12-02,39349,557,22955
2022-12-03,10713,514,37328
2022-12-04,9804,269,34632
2022-12-05,15136,64,10154
2022-12-06,5009,166,31170
2022-12-07,24255,380,34163
2022-12-08,28793,105,15085
2022-12-09,34548,400,30244
2022-12-10,42892,181,8327
2022-12-11,6015,275,20139
2022-12-12,32712,357,28875
2022-12-13,39961,524,36264
2022-12-14,13415,271,16060
2022-12-15,28833,222,18656
2022-12-16,9158,389,21805
2022-12-17,25309,555,37366
2022-12-18,11970,206,31855
2022-12-19,11938,200,7127
2022-12-20,26168,227,6590
2022-12-21,25384,582,15973
2022-12-22,23017,161,19845
2022-12-23,15344,187,30281
2022-12-24,45034,282,19549
2022-12-25,13702,381,30623
2022-12-26,5384,591,37496
2022-12-27,5404,356,27080
2022-12-28,45943,210,7697
2022-12-29,34189,451,18730
2022-12-30,17763,327,31245
2022-12-31,23384,369,34313
2023-01-01,37606,582,21557
2023-01-02,14860,546,3037
2023-01-03,43757,412,32908
2023-01-04,20106,421,5021
2023-01-05,28574,85,11839
2023-01-06,28524,352,34005
2023-01-07,8636,487,6302
2023-01-08,15916,81,11511
2023-01-09,9809,235,23991
2023-01-10,37201,223,12914
2023-01-11,18456,299,12948
2023-01-12,43765,328,31354
2023-01-13,39816,51,8873
2023-01-14,22100,243,34461
2023-01-15,26949,215,10498
2023-01-16,9544,159,26556
2023-01-17,42744,429,35606
2023-01-18,47783,334,30091
2023-01-19,31657,470,8635
2023-01-20,41187,162,36532
2023-01-21,12239,277,25690
2023-01-22,19489,520,20036
2023-01-23,48125,577,13321
2023-01-24,33538,545,32152
2023-01-25,37049,80,23348
2023-01-26,42131,211,23995
2023-01-27,47944,427,27762
2023-01-28,13427,495,3145
2023-01-29,46348,476,8101
2023-01-30,29285,553,7247
2023-01-31,42626,576,12578
2023-02-01,47808,581,7188
2023-02-02,27928,569,34774
2023-02-03,24198,83,5696
2023-02-04,24758,539,22713
2023-02-05,20254,472,33875
2023-02-06,49238,517,28350
2023-02-07,6252,73,7641
2023-02-08,44764,265,8559
2023-02-09,17173,104,37028
2023-02-10,42441,75,14631
2023-02-11,31698,330,38816
2023-02-12,20781,376,5023
2023-02-13,18051,235,28656
2023-02-14,44649,544,23654
2023-02-15,11949,61,24717
2023-02-16,47289,483,37842
2023-02-17,13017,257,35550
2023-02-18,11941,182,38080
2023-02-19,30934,388,6474
2023-02-20,28386,245,17171
2023-02-21,15209,311,6260
2023-02-22,22715,331,8618
2023-02-23,33920,418,37118
2023-02-24,36703,152,12285
2023-02-25,47318,232,11141
2023-02-26,9637,472,31352
2023-02-27,9854,58,26707
2023-02-28,48088,293,25161
2023-03-01,42660,442,4854
2023-03-02,44811,576,21650
2023-03-03,24856,86,19944
2023-03-04,26833,227,10546
2023-03-05,24963,121,10207
2023-03-06,41932,401,32268
2023-03-07,32169,198,9486
2023-03-08,12941,154,34222
2023-03-09,19388,270,32121
2023-03-10,10569,423,21767
2023-03-11,9300,567,13017
2023-03-12,44037,309,18094
2023-03-13,41586,348,34236
2023-03-14,17015,91,10664
2023-03-15,11254,541,32921
2023-03-16,22144,488,32845
2023-03-17,29214,96,17573
2023-03-18,45118,134,4683
2023-03-19,20183,107,12390
2023-03-20,11238,258,36777
2023-03-21,11090,297,34777
2023-03-22,16637,260,32111
2023-03-23,27415,88,32980
2023-03-24,29071,301,38380
2023-03-25,47679,462,26808
2023-03-26,46240,495,10226
2023-03-27,23271,101,25447
2023-03-28,41034,423,20926
2023-03-29,38434,575,20621
2023-03-30,9188,205,14167
2023-03-31,15161,591,8709
2023-04-01,33732,139,16240
2023-04-02,16314,400,38031
2023-04-03,28954,118,35146
2023-04-04,26508,212,10998
2023-04-05,26969,291,13812
2023-04-06,42545,544,34101
2023-04-07,41668,432,17228
2023-04-08,28061,101,27747
2023-04-09,18716,112,32790
2023-04-10,44749,558,4882
2023-04-11,44144,341,21659
2023-04-12,21907,140,26258
2023-04-13,23777,473,26886
2023-04-14,32693,414,34343
2023-04-15,47928,199,21407
2023-04-16,31329,320,6950
2023-04-17,21282,165,6889
2023-04-18,28624,565,33410
2023-04-19,28321,290,31968
2023-04-20,15488,79,21976
2023-04-21,27574,192,26016
2023-04-22,10240,375,12211
2023-04-23,48221,65,25742
2023-04-24,15478,160,26553
2023-04-25,24262,156,32332
2023-04-26,9432,428,16089
2023-04-27,34721,211,7436
2023-04-28,18568,332,20087
2023-04-29,19178,318,28428
2023-04-30,27195,533,11497
2023-05-01,5302,122,31154
2023-05-02,22022,246,29509
2023-05-03,5055,292,37349
2023-05-04,13717,308,6957
2023-05-05,33699,198,17913
2023-05-06,13150,439,12797
2023-05-07,7125,465,10531
2023-05-08,49247,475,16825
2023-05-09,21748,266,9911
2023-05-10,44577,135,35316
2023-05-11,9621,265,8731
2023-05-12,20034,472,20279
2023-05-13,10126,369,27416
2023-05-14,10122,167,31000
2023-05-15,23030,464,15045
2023-05-16,22302,89,39299
2023-05-17,24181,210,13666
2023-05-18,43638,586,21245
2023-05-19,6531,469,35566
2023-05-20,45940,144,30339
2023-05-21,45441,491,7852
2023-05-22,28333,515,19414
2023-05-23,44650,337,17281
2023-05-24,39674,461,31031
2023-05-25,40854,449,19626
2023-05-26,13152,577,26302
2023-05-27,43518,67,33112
2023-05-28,15267,185,8511
2023-05-29,30289,513,7668
2023-05-30,6062,297,9087
2023-05-31,34926,50,10015
2023-06-01,11229,430,34419
2023-06-02,9632,558,34314
2023-06-03,44056,509,14614
2023-06-04,8596,554,7003
2023-06-05,49243,525,29235
2023-06-06,11168,81,36366
2023-06-07,47563,167,35837
2023-06-08,12561,233,11139
2023-06-09,13258,240,12585
2023-06-10,21616,123,6659
2023-06-11,31734,152,29225
2023-06-12,11371,469,8634
2023-06-13,31069,522,6682
2023-06-14,19369,163,38451
2023-06-15,17910,428,7562
2023-06-16,12943,362,7652
2023-06-17,17199,379,24315
2023-06-18,20728,388,12502
2023-06-19,28275,287,7713
2023-06-20,11738,222,8413
2023-06-21,20913,128,24984
2023-06-22,40240,513,23487
2023-06-23,24123,550,5075
2023-06-24,39529,334,36550
2023-06-25,15167,272,23190
2023-06-26,15554,315,35263
2023-06-27,22260,422,14909
2023-06-28,8812,282,32212
2023-06-29,33024,285,17962
2023-06-30,32285,363,18853
2023-07-01,31900,429,37822
2023-07-02,6605,469,17375
2023-07-03,10622,101,5109
2023-07-04,11767,558,4320
2023-07-05,32139,254,18987
2023-07-06,16613,306,6699
2023-07-07,15589,234,31209
2023-07-08,18918,194,25547
2023-07-09,25119,63,25939
2023-07-10,32446,295,17202
2023-07-11,18046,236,32220
2023-07-12,29818,386,24762
2023-07-13,40358,308,11796
2023-07-14,9324,89,4722
2023-07-15,15787,467,14674
2023-07-16,14111,400,5812
2023-07-17,43110,58,5278
2023-07-18,21389,399,38118
2023-07-19,46427,133,6623
2023-07-20,19043,582,9530
